name,type,format,duration,artist,album,genre
Seek & Destroy,mp3,6:55,Metallica,Kill 'Em All,Rock
Trap Queen,mp3,3:42,Fetty Wap,Trap Queen - Single,Hip-Hop
679,mp3,3:16,Fetty Wap,679 (feat. Remy Boyz) - Single,Hip-Hop
My Way,mp3,3:33,Fetty Wap,My Way (feat. Monty) - Single,Hip-Hop
Rap God,mp3,6:03,Eminem,The Marshall Mathers LP2,Hip-Hop
The Monster,mp3,4:10,Eminem,The Marshall Mathers LP2,Hip-Hop
Love the Way You Lie,mp3,4:23,Eminem,Recovery,Hip-Hop
Not Afraid,mp3,4:08,Eminem,Recovery,Hip-Hop
Lose Yourself,mp3,5:20,Eminem,8 Mile,Hip-Hop
Airplanes,mp3,3:01,B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Hip-Hop
Nothin' On You,mp3,4:30,B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Hip-Hop
Magic,mp3,3:16,B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Hip-Hop
So Good,mp3,3:33,B.o.B,Strange Clouds,Hip-Hop
HeadBand,mp3,3:40,B.o.B,Underground Luxury,Hip-Hop
Tell Me Why,mp3,4:10,Declan Galbraith,Declan Galbraith,Pop
Love of My Life,mp3,3:21,Declan Galbraith,Declan Galbraith,Pop
Imagine,mp3,3:18,Declan Galbraith,Declan Galbraith,Pop
An Angel,mp3,3:59,Declan Galbraith,Declan Galbraith,Pop
Tears in Heaven,mp3,4:18,Declan Galbraith,Declan Galbraith,Pop
A Thousand Miles,mp3,3:57,Vanessa Carlton,Be Not Nobody,Pop
Ordinary Day,mp3,4:00,Vanessa Carlton,Be Not Nobody,Pop
White Houses,mp3,3:45,Vanessa Carlton,Harmonium,Pop
Nolita Fairytale,mp3,3:27,Vanessa Carlton,Heroes & Thieves,Pop
Gymnopedie No. 1,mp3,3:36,Erik Satie,The 50 Darkest Pieces of Classical Music,Classical
Piano Sonata No. 14 in C-Sharp Minor, Op. 27: No. 2 "Moonlight Sonata": I. Adagio sostenuto,mp3,6:05,Ludwig van Beethoven,The 50 Darkest Pieces of Classical Music,Classical
Sixth Station,mp3,4:07,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack),Soundtrack
Country Road,mp3,3:25,John Denver,The Essential John Denver,Country
Take Me Home, Country Roads,mp3,3:11,John Denver,The Essential John Denver,Country
Annie's Song,mp3,3:01,John Denver,The Essential John Denver,Country
Rocky Mountain High,mp3,4:44,John Denver,The Essential John Denver,Country
God's Gonna Cut You Down,mp3,2:38,Johnny Cash,American V: A Hundred Highways,Country
Number of the Beast,mp3,4:51,Iron Maiden,The Number of the Beast,Metal
Run to the Hills,mp3,3:53,Iron Maiden,The Number of the Beast,Metal
The Trooper,mp3,4:12,Iron Maiden,Piece of Mind,Metal
Fear of the Dark,mp3,7:18,Iron Maiden,Fear of the Dark,Metal
Fairy Tale,mp3,3:32,Alexander Rybak,Fairytales,Pop
Moves Like Jagger,mp3,3:21,Maroon 5,Hands All Over,Pop
Payphone,mp3,3:51,Maroon 5,Overexposed,Pop
One More Night,mp3,3:39,Maroon 5,Overexposed,Pop
Maps,mp3,3:10,Maroon 5,V,Pop
Tell Me Why,mp3,4:10,Declan Galbraith,Declan Galbraith,Pop
Love of My Life,mp3,3:21,Declan Galbraith,Declan Galbraith,Pop
Don't Stop Believin',mp3,4:10,Journey,Greatest Hits,Rock
Any Way You Want It,mp3,3:22,Journey,Greatest Hits,Rock
Faithfully,mp3,4:26,Journey,Greatest Hits,Rock
Crazy,mp3,3:58,Gnarls Barkley,St. Elsewhere,Alternative
Run,mp3,3:57,Gnarls Barkley,St. Elsewhere,Alternative
Who Cares?,mp3,2:58,Gnarls Barkley,St. Elsewhere,Alternative
Gone Daddy Gone,mp3,2:28,Gnarls Barkley,St. Elsewhere,Alternative
